,Date,Amount,Opened,Note
39,2023-10-01 17:58:19.332242+00:00,750,True,only sidra present
40,2023-10-08 22:08:07.997496+00:00,750,True,-
41,2023-10-15 22:08:07.997496+00:00,750,True,-
42,2023-10-22 22:08:07.997496+00:00,750,True,-
43,2023-10-29 22:08:07.997496+00:00,750,True,-
44,2023-11-05 18:13:39.429639+00:00,750,True,-
45,2023-11-12 18:13:39.429639+00:00,750,True,-
47,2023-11-19 21:52:40.156616+00:00,750,True,-
48,2023-11-26 21:52:40.156616+00:00,750,True,-
49,2023-12-03 22:33:56.153411+00:00,750,True,-
50,2023-12-10 22:33:56.153411+00:00,750,True,-
51,2023-12-17 22:33:56.153411+00:00,750,True,-
52,2023-12-24 22:33:56.153411+00:00,750,True,-
53,2023-12-31 13:19:24.283867+00:00,750,True,-
54,2024-01-07 23:46:39.251141+00:00,750,True,-
55,2024-01-14 17:10:56.943508+00:00,750,True,-
56,2024-01-21 18:38:36.507926+00:00,750,True,-
57,2024-01-28 18:57:25.370897+00:00,750,True,-
58,2024-02-04 23:28:38.600607+00:00,750,True,-
59,2024-02-11 13:49:39.759315+00:00,750,True,-
60,2024-02-18 13:49:39.759315+00:00,750,True,-
61,2024-02-18 21:09:10.012644+00:00,750,True,-
62,2024-02-25 21:09:10.012644+00:00,750,True,-
63,2024-03-03 22:47:15.063739+00:00,750,True,-
64,2024-03-10 22:47:15.063739+00:00,750,True,-
65,2024-03-17 22:47:15.063739+00:00,750,True,-
66,2024-03-24 22:47:15.063739+00:00,750,True,-
67,2024-03-31 22:47:15.063739+00:00,750,True,-
68,2024-04-07 21:30:32.480999+00:00,750,True,-
69,2024-04-14 21:30:32.480999+00:00,750,True,-
70,2024-04-21 21:30:32.480999+00:00,750,True,-
71,2024-04-28 21:30:32.480999+00:00,750,True,-
72,2024-05-05 20:02:56.261566+00:00,750,True,-
73,2024-05-12 20:02:56.261566+00:00,750,True,-
74,2024-05-19 20:02:56.261566+00:00,750,True,-
75,2024-05-26 20:02:56.261566+00:00,750,True,-
76,2024-06-02 15:07:17.984659+00:00,750,True,-
77,2024-06-09 15:07:59.381906+00:00,750,True,-
78,2024-06-16 15:07:59.381906+00:00,750,True,-
79,2024-06-23 15:07:59.381906+00:00,750,True,-
80,2024-06-30 15:07:59.381906+00:00,750,True,-
81,2024-07-07 15:07:59.381906+00:00,750,True,-
82,2024-07-14 14:24:59.539539+00:00,750,True,-
83,2024-07-21 17:37:42.810351+00:00,750,True,-
84,2024-07-28 17:38:16.718776+00:00,750,True,-
85,2024-08-04 23:48:37.341356+00:00,750,True,-
86,2024-08-11 23:48:54.617967+00:00,750,True,-
87,2024-08-18 23:48:54.617967+00:00,750,True,-
88,2024-08-25 23:48:54.617967+00:00,750,True,-
89,2024-09-01 23:48:54.617967+00:00,750,True,-
90,2024-09-08 23:48:54.617967+00:00,750,True,-
91,2024-09-15 23:48:54.617967+00:00,750,True,-
92,2024-09-22 23:48:54.617967+00:00,750,True,-
93,2024-09-29 23:48:54.617967+00:00,750,True,-
94,2024-10-06 23:48:00.691098+00:00,750,True,-
95,2024-10-13 23:48:00.691098+00:00,750,True,-
96,2024-10-20 23:48:00.691098+00:00,750,True,-
97,2024-10-27 23:48:00.691098+00:00,750,True,-
98,2024-11-03 00:10:21.569150+00:00,750,True,-
99,2024-11-10 00:10:21.569150+00:00,750,True,-
100,2024-11-17 00:10:21.569150+00:00,750,True,-
101,2024-11-24 00:10:21.569150+00:00,750,True,-
102,2024-12-01 00:10:21.569150+00:00,750,True,-
103,2024-12-08 21:34:35.197488+00:00,750,True,-
104,2024-12-15 21:34:35.197488+00:00,750,True,-
105,2024-12-22 21:34:35.197488+00:00,750,True,-
106,2024-12-29 21:34:35.197488+00:00,750,True,-
107,2025-01-05 13:54:30.561256+00:00,750,True,-
108,2025-01-12 13:54:30.561256+00:00,750,True,-
109,2025-01-19 13:54:30.561256+00:00,750,True,-
110,2025-01-26 13:54:30.561256+00:00,750,True,-
111,2025-02-02 13:54:30.561256+00:00,750,True,-
112,2025-02-09 13:54:30.561256+00:00,750,True,-
113,2025-02-16 12:35:37.376754+00:00,750,True,-
114,2025-02-23 12:35:37.376754+00:00,750,True,-
115,2025-03-02 12:35:37.376754+00:00,750,True,-
116,2025-03-09 12:35:37.376754+00:00,750,True,-
117,2025-03-16 12:35:37.376754+00:00,750,True,-
118,2025-03-23 12:35:37.376754+00:00,750,True,-
119,2025-03-30 12:35:37.376754+00:00,750,True,-
120,2025-04-06 13:50:36.653031+00:00,750,True,-
121,2025-04-13 13:50:36.653031+00:00,750,True,-
122,2025-04-20 13:50:36.653031+00:00,750,True,-
123,2025-04-27 13:50:36.653031+00:00,750,True,-
124,2025-05-04 13:50:36.653031+00:00,750,True,-
